# ZONES CLONING TEMPLATE REMOTE
  1     19.5    378.6    136.5
  2     20.4    543.2    189.7
  4     28.8    897.4    320.1
  8     51.4    1648.5   598.6
  10    74.6    2154.1   786.3

